enc_store_id_dept_id_snap_transform_1_mean,enc_item_id_store_id_snap_transform_1_mean,enc_store_id_dept_id_tm_m_mean,enc_item_id_store_id_tm_m_mean,enc_store_id_dept_id_snap_transform_1_tm_m_mean,enc_item_id_store_id_snap_transform_1_tm_m_mean,enc_store_id_dept_id_snap_transform_1_std,enc_item_id_store_id_snap_transform_1_std,enc_store_id_dept_id_tm_m_std,enc_item_id_store_id_tm_m_std,enc_store_id_dept_id_snap_transform_1_tm_m_std,enc_item_id_store_id_snap_transform_1_tm_m_std
0.5,0.5,0.4348,0.4348,,,1.0,1.0,0.8955,0.8955,,
0.5,0.5,0.2307,0.2307,,,0.577,0.577,0.4297,0.4297,,
0.2637,0.2637,0.2307,0.2307,0.2632,0.2632,0.574,0.574,0.587,0.587,0.6533,0.6533
0.3147,0.3147,0.2778,0.2778,0.2942,0.2942,0.7773,0.7773,0.5747,0.5747,0.588,0.588
0.3035,0.3035,0.5,0.5,0.5293,0.5293,0.5093,0.5093,0.618,0.618,0.624,0.624
0.08887,0.08887,0.1305,0.1305,0.1111,0.1111,0.2861,0.2861,0.3442,0.3442,0.3235,0.3235
0.1349,0.1349,0.0952,0.0952,0.05884,0.05884,0.375,0.375,0.3008,0.3008,0.2426,0.2426
0.1222,0.1222,0.1666,0.1666,0.1666,0.1666,0.3293,0.3293,0.3806,0.3806,0.3835,0.3835
0.8,0.8,0.5356,0.5356,0.0,0.0,0.8364,0.8364,0.838,0.838,,
2.6,2.6,1.0,1.0,6.0,6.0,3.13,3.13,1.633,1.633,,
0.25,0.25,1.087,1.087,,,0.5,0.5,2.645,2.645,,
0.2,0.2,0.1482,0.1482,1.0,1.0,0.4473,0.4473,0.362,0.362,,
0.4,0.4,0.75,0.75,0.0,0.0,0.548,0.548,1.378,1.378,,
0.25,0.25,0.5264,0.5264,,,0.5,0.5,0.612,0.612,,
0.25,0.25,0.36,0.36,,,0.5,0.5,0.569,0.569,,
0.6,0.6,0.4443,0.4443,2.0,2.0,0.8945,0.8945,0.751,0.751,,
0.6,0.6,0.1482,0.1482,1.0,1.0,0.548,0.548,0.362,0.362,,
0.0,0.0,,,,,0.0,0.0,,,,
0.8,0.8,1.481,1.481,1.0,1.0,0.8364,0.8364,1.784,1.784,,
2.0,2.0,1.571,1.571,1.0,1.0,1.0,1.0,1.597,1.597,,
0.6,0.6,1.107,1.107,2.0,2.0,0.8945,0.8945,1.101,1.101,,
1.0,1.0,0.5,0.5,0.0,0.0,1.414,1.414,0.745,0.745,,
1.2,1.2,1.223,1.223,1.0,1.0,0.4473,0.4473,1.477,1.477,,
1.5,1.5,0.9414,0.9414,,,0.577,0.577,1.298,1.298,,
1.8,1.8,1.37,1.37,1.0,1.0,0.8364,0.8364,1.572,1.572,,
2.2,2.2,2.072,2.072,3.0,3.0,1.483,1.483,1.608,1.608,,
4.4,4.4,4.035,4.035,2.0,2.0,1.949,1.949,2.56,2.56,,
1.8,1.8,1.821,1.821,1.0,1.0,2.168,2.168,2.074,2.074,,
1.0,1.0,0.5356,0.5356,0.0,0.0,0.707,0.707,0.838,0.838,,
0.0,0.0,0.9287,0.9287,0.0,0.0,0.0,0.0,1.961,1.961,,
1.0,1.0,1.536,1.536,0.0,0.0,1.732,1.732,1.71,1.71,,
0.2,0.2,0.3333,0.3333,1.0,1.0,0.4473,0.4473,0.62,0.62,,
,,,,,,,,,,,
0.75,0.75,0.2307,0.2307,,,0.9575,0.9575,1.177,1.177,,
0.8,0.8,0.4814,0.4814,1.0,1.0,0.4473,0.4473,0.849,0.849,,
0.8,0.8,0.643,0.643,0.0,0.0,1.789,1.789,0.7803,0.7803,,
2.0,2.0,1.679,1.679,3.0,3.0,1.581,1.581,1.307,1.307,,
1.0,1.0,0.893,0.893,1.0,1.0,0.707,0.707,1.134,1.134,,
1.0,1.0,0.8213,0.8213,0.0,0.0,1.732,1.732,1.249,1.249,,
0.8,0.8,0.6665,0.6665,1.0,1.0,1.304,1.304,0.7847,0.7847,,
1.8,1.8,0.815,0.815,5.0,5.0,1.924,1.924,1.57,1.57,,
0.4,0.4,0.857,0.857,1.0,1.0,0.548,0.548,0.9707,0.9707,,
0.25,0.25,0.5,0.5,,,0.5,0.5,0.756,0.756,,
1.8,1.8,0.7144,0.7144,0.0,0.0,2.49,2.49,0.8545,0.8545,,
0.0,0.0,0.6,0.6,,,0.0,0.0,0.866,0.866,,
1.0,1.0,0.3572,0.3572,0.0,0.0,1.225,1.225,0.6216,0.6216,,
0.5,0.5,0.1904,0.1904,,,0.577,0.577,0.5117,0.5117,,
0.25,0.25,0.5,0.5,,,0.5,0.5,0.7305,0.7305,,
0.25,0.25,0.1578,0.1578,,,0.5,0.5,0.5015,0.5015,,
0.25,0.25,0.25,0.25,,,0.5,0.5,0.5,0.5,,
0.4,0.4,0.2222,0.2222,1.0,1.0,0.548,0.548,0.5063,0.5063,,
0.0,0.0,0.1,0.1,,,0.0,0.0,0.3079,0.3079,,
0.25,0.25,0.0769,0.0769,,,0.5,0.5,0.2717,0.2717,,
0.0,0.0,0.0714,0.0714,0.0,0.0,0.0,0.0,0.2622,0.2622,,
0.4,0.4,0.1428,0.1428,0.0,0.0,0.548,0.548,0.3564,0.3564,,
0.0,0.0,0.2,0.2,,,0.0,0.0,0.414,0.414,,
,,,,,,,,,,,
0.5,0.5,0.0476,0.0476,,,1.0,1.0,0.2183,0.2183,,
0.25,0.25,0.769,0.769,,,0.5,0.5,0.951,0.951,,
1.0,1.0,,,,,1.0,1.0,,,,
0.6665,0.6665,,,,,0.577,0.577,,,,
0.4,0.4,0.5186,0.5186,1.0,1.0,0.548,0.548,0.893,0.893,,
0.6,0.6,0.4443,0.4443,1.0,1.0,0.8945,0.8945,0.751,0.751,,
0.0,0.0,0.3333,0.3333,,,0.0,0.0,0.5645,0.5645,,
0.0,0.0,,,,,0.0,0.0,,,,
1.0,1.0,1.286,1.286,0.0,0.0,1.732,1.732,1.182,1.182,,
0.25,0.25,0.2174,0.2174,,,0.5,0.5,0.4216,0.4216,,
0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.694,0.694,,
0.25,0.25,0.2727,0.2727,,,0.5,0.5,0.7026,0.7026,,
0.25,0.25,0.696,0.696,,,0.5,0.5,0.974,0.974,,
0.5,0.5,0.4348,0.4348,,,0.577,0.577,0.8955,0.8955,,
0.0,0.0,0.2307,0.2307,,,0.0,0.0,0.4297,0.4297,,
0.25,0.25,0.2307,0.2307,,,0.5,0.5,0.587,0.587,,
0.25,0.25,0.2778,0.2778,,,0.5,0.5,0.5747,0.5747,,
0.5,0.5,0.5,0.5,,,1.0,1.0,0.618,0.618,,
0.0,0.0,0.1305,0.1305,,,0.0,0.0,0.3442,0.3442,,
0.0,0.0,0.0952,0.0952,,,0.0,0.0,0.3008,0.3008,,
0.0,0.0,0.1666,0.1666,,,0.0,0.0,0.3806,0.3806,,
1.6,1.6,0.5356,0.5356,0.0,0.0,1.517,1.517,0.838,0.838,,
1.4,1.4,1.0,1.0,0.0,0.0,2.191,2.191,1.633,1.633,,
0.75,0.75,1.087,1.087,,,0.5,0.5,2.645,2.645,,
0.2,0.2,0.1482,0.1482,0.0,0.0,0.4473,0.4473,0.362,0.362,,
1.0,1.0,0.75,0.75,2.0,2.0,1.414,1.414,1.378,1.378,,
0.75,0.75,0.5264,0.5264,,,0.9575,0.9575,0.612,0.612,,
0.5,0.5,0.36,0.36,,,1.0,1.0,0.569,0.569,,
0.6,0.6,0.4443,0.4443,0.0,0.0,0.8945,0.8945,0.751,0.751,,
0.8,0.8,0.1482,0.1482,0.0,0.0,0.8364,0.8364,0.362,0.362,,
0.3333,0.3333,,,,,0.577,0.577,,,,
1.0,1.0,1.481,1.481,0.0,0.0,1.414,1.414,1.784,1.784,,
2.0,2.0,1.571,1.571,1.0,1.0,2.0,2.0,1.597,1.597,,
2.0,2.0,1.107,1.107,2.0,2.0,2.346,2.346,1.101,1.101,,
1.0,1.0,0.5,0.5,0.0,0.0,1.414,1.414,0.745,0.745,,
1.0,1.0,1.223,1.223,0.0,0.0,1.225,1.225,1.477,1.477,,
1.667,1.667,0.9414,0.9414,,,2.082,2.082,1.298,1.298,,
1.8,1.8,1.37,1.37,1.0,1.0,1.304,1.304,1.572,1.572,,
2.8,2.8,2.072,2.072,5.0,5.0,1.483,1.483,1.608,1.608,,
6.0,6.0,4.035,4.035,6.0,6.0,3.24,3.24,2.56,2.56,,
1.0,1.0,1.821,1.821,1.0,1.0,1.225,1.225,2.074,2.074,,
0.6,0.6,0.5356,0.5356,2.0,2.0,0.8945,0.8945,0.838,0.838,,
0.8,0.8,0.9287,0.9287,0.0,0.0,1.304,1.304,1.961,1.961,,
1.8,1.8,1.536,1.536,1.0,1.0,1.924,1.924,1.71,1.71,,
0.6,0.6,0.3333,0.3333,0.0,0.0,0.548,0.548,0.62,0.62,,
,,,,,,,,,,,
1.2,1.2,0.2307,0.2307,6.0,6.0,2.684,2.684,1.177,1.177,,
0.6,0.6,0.4814,0.4814,0.0,0.0,0.8945,0.8945,0.849,0.849,,
0.4,0.4,0.643,0.643,0.0,0.0,0.8945,0.8945,0.7803,0.7803,,
3.4,3.4,1.679,1.679,4.0,4.0,2.51,2.51,1.307,1.307,,
2.0,2.0,0.893,0.893,0.0,0.0,2.0,2.0,1.134,1.134,,
0.8,0.8,0.8213,0.8213,1.0,1.0,0.8364,0.8364,1.249,1.249,,
0.2,0.2,0.6665,0.6665,0.0,0.0,0.4473,0.4473,0.7847,0.7847,,
1.4,1.4,0.815,0.815,0.0,0.0,1.141,1.141,1.57,1.57,,
0.2,0.2,0.857,0.857,1.0,1.0,0.4473,0.4473,0.9707,0.9707,,
0.25,0.25,0.5,0.5,,,0.5,0.5,0.756,0.756,,
0.6,0.6,0.7144,0.7144,2.0,2.0,0.8945,0.8945,0.8545,0.8545,,
0.5,0.5,0.6,0.6,,,0.577,0.577,0.866,0.866,,
0.8,0.8,0.3572,0.3572,1.0,1.0,0.4473,0.4473,0.6216,0.6216,,
0.25,0.25,0.1904,0.1904,,,0.5,0.5,0.5117,0.5117,,
0.0,0.0,0.5,0.5,,,0.0,0.0,0.7305,0.7305,,
0.25,0.25,0.1578,0.1578,,,0.5,0.5,0.5015,0.5015,,
0.0,0.0,0.25,0.25,,,0.0,0.0,0.5,0.5,,
0.4,0.4,0.2222,0.2222,0.0,0.0,0.548,0.548,0.5063,0.5063,,
0.0,0.0,0.1,0.1,,,0.0,0.0,0.3079,0.3079,,
0.2,0.2,0.0769,0.0769,1.0,1.0,0.4473,0.4473,0.2717,0.2717,,
0.0,0.0,0.0714,0.0714,0.0,0.0,0.0,0.0,0.2622,0.2622,,
0.2,0.2,0.1428,0.1428,0.0,0.0,0.4473,0.4473,0.3564,0.3564,,
0.25,0.25,0.2,0.2,,,0.5,0.5,0.414,0.414,,
,,,,,,,,,,,
0.0,0.0,0.0476,0.0476,,,0.0,0.0,0.2183,0.2183,,
0.2,0.2,0.769,0.769,1.0,1.0,0.4473,0.4473,0.951,0.951,,
0.6665,0.6665,,,,,1.154,1.154,,,,
1.0,1.0,,,,,1.0,1.0,,,,
1.4,1.4,0.5186,0.5186,1.0,1.0,0.548,0.548,0.893,0.893,,
0.2,0.2,0.4443,0.4443,1.0,1.0,0.4473,0.4473,0.751,0.751,,
0.0,0.0,0.3333,0.3333,,,0.0,0.0,0.5645,0.5645,,
0.0,0.0,,,,,0.0,0.0,,,,
2.2,2.2,1.286,1.286,1.0,1.0,2.168,2.168,1.182,1.182,,
0.0,0.0,0.2174,0.2174,,,0.0,0.0,0.4216,0.4216,,
0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.694,0.694,,
0.25,0.25,0.2727,0.2727,,,0.5,0.5,0.7026,0.7026,,
0.25,0.25,0.696,0.696,,,0.5,0.5,0.974,0.974,,
0.25,0.25,0.4348,0.4348,,,0.5,0.5,0.8955,0.8955,,
0.2,0.2,0.2307,0.2307,1.0,1.0,0.4473,0.4473,0.4297,0.4297,,
0.2,0.2,0.2307,0.2307,1.0,1.0,0.4473,0.4473,0.587,0.587,,
0.0,0.0,0.2778,0.2778,,,0.0,0.0,0.5747,0.5747,,
0.25,0.25,0.5,0.5,,,0.5,0.5,0.618,0.618,,
0.75,0.75,0.1305,0.1305,,,0.9575,0.9575,0.3442,0.3442,,
0.5,0.5,0.0952,0.0952,,,0.577,0.577,0.3008,0.3008,,
0.0,0.0,0.1666,0.1666,,,0.0,0.0,0.3806,0.3806,,
0.0,0.0,0.5356,0.5356,0.0,0.0,0.0,0.0,0.838,0.838,,
0.4,0.4,1.0,1.0,0.0,0.0,0.8945,0.8945,1.633,1.633,,
0.25,0.25,1.087,1.087,,,0.5,0.5,2.645,2.645,,
1.0,1.0,0.1482,0.1482,0.0,0.0,1.732,1.732,0.362,0.362,,
0.8,0.8,0.75,0.75,1.0,1.0,0.8364,0.8364,1.378,1.378,,
0.25,0.25,0.5264,0.5264,,,0.5,0.5,0.612,0.612,,
0.8,0.8,0.36,0.36,2.0,2.0,0.8364,0.8364,0.569,0.569,,
0.4834,0.4834,0.4443,0.4443,0.3684,0.3684,1.047,1.047,0.751,0.751,0.684,0.684
0.3625,0.3625,0.1482,0.1482,0.1053,0.1053,0.876,0.876,0.362,0.362,0.3152,0.3152
0.2698,0.2698,,,,,0.6274,0.6274,,,,
1.0,1.0,1.481,1.481,0.0,0.0,1.0,1.0,1.784,1.784,,
1.8,1.8,1.571,1.571,0.0,0.0,1.789,1.789,1.597,1.597,,
0.8,0.8,1.107,1.107,0.0,0.0,1.304,1.304,1.101,1.101,,
0.2,0.2,0.5,0.5,0.0,0.0,0.4473,0.4473,0.745,0.745,,
0.4,0.4,1.223,1.223,1.0,1.0,0.548,0.548,1.477,1.477,,
0.3333,0.3333,0.9414,0.9414,,,0.577,0.577,1.298,1.298,,
2.0,2.0,1.37,1.37,1.0,1.0,1.0,1.0,1.572,1.572,,
1.706,1.706,2.072,2.072,1.7,1.7,1.441,1.441,1.608,1.608,1.56,1.56
3.4,3.4,4.035,4.035,4.15,4.15,2.43,2.43,2.56,2.56,2.434,2.434
1.337,1.337,1.821,1.821,1.45,1.45,1.571,1.571,2.074,2.074,2.04,2.04
0.2,0.2,0.5356,0.5356,0.0,0.0,0.4473,0.4473,0.838,0.838,,
0.6,0.6,0.9287,0.9287,0.0,0.0,0.8945,0.8945,1.961,1.961,,
0.8,0.8,1.536,1.536,1.0,1.0,0.8364,0.8364,1.71,1.71,,
0.0,0.0,0.3333,0.3333,0.0,0.0,0.0,0.0,0.62,0.62,,
,,,,,,,,,,,
0.2,0.2,0.2307,0.2307,0.0,0.0,0.4473,0.4473,1.177,1.177,,
0.4,0.4,0.4814,0.4814,1.0,1.0,0.548,0.548,0.849,0.849,,
0.5435,0.5435,0.643,0.643,0.7,0.7,0.8945,0.8945,0.7803,0.7803,0.8013,0.8013
1.044,1.044,1.679,1.679,1.35,1.35,1.026,1.026,1.307,1.307,1.04,1.04
0.9023,0.9023,0.893,0.893,1.05,1.05,1.06,1.06,1.134,1.134,1.234,1.234
1.0,1.0,0.8213,0.8213,0.0,0.0,1.414,1.414,1.249,1.249,,
0.2,0.2,0.6665,0.6665,0.0,0.0,0.4473,0.4473,0.7847,0.7847,,
1.6,1.6,0.815,0.815,1.0,1.0,1.517,1.517,1.57,1.57,,
0.4,0.4,0.857,0.857,0.0,0.0,0.548,0.548,0.9707,0.9707,,
0.25,0.25,0.5,0.5,,,0.5,0.5,0.756,0.756,,
1.0,1.0,0.7144,0.7144,3.0,3.0,1.225,1.225,0.8545,0.8545,,
1.6,1.6,0.6,0.6,3.0,3.0,1.342,1.342,0.866,0.866,,
0.3586,0.3586,0.3572,0.3572,0.25,0.25,0.639,0.639,0.6216,0.6216,0.5503,0.5503
0.0787,0.0787,0.1904,0.1904,0.05884,0.05884,0.2708,0.2708,0.5117,0.5117,0.2426,0.2426
0.216,0.216,0.5,0.5,0.5,0.5,0.466,0.466,0.7305,0.7305,0.7305,0.7305
0.75,0.75,0.1578,0.1578,,,0.9575,0.9575,0.5015,0.5015,,
0.0,0.0,0.25,0.25,,,0.0,0.0,0.5,0.5,,
0.0,0.0,0.2222,0.2222,0.0,0.0,0.0,0.0,0.5063,0.5063,,
0.25,0.25,0.1,0.1,,,0.5,0.5,0.3079,0.3079,,
0.0,0.0,0.0769,0.0769,0.0,0.0,0.0,0.0,0.2717,0.2717,,
0.0,0.0,0.0714,0.0714,0.0,0.0,0.0,0.0,0.2622,0.2622,,
0.0,0.0,0.1428,0.1428,0.0,0.0,0.0,0.0,0.3564,0.3564,,
0.046,0.046,0.2,0.2,0.2,0.2,0.2107,0.2107,0.414,0.414,0.414,0.414
1.0,1.0,,,,,,,,,,
0.03372,0.03372,0.0476,0.0476,0.0,0.0,0.1815,0.1815,0.2183,0.2183,0.0,0.0
1.2,1.2,0.769,0.769,1.0,1.0,0.8364,0.8364,0.951,0.951,,
1.5,1.5,,,,,1.732,1.732,,,,
0.6665,0.6665,,,,,0.577,0.577,,,,
0.6,0.6,0.5186,0.5186,0.0,0.0,0.8945,0.8945,0.893,0.893,,
0.2,0.2,0.4443,0.4443,0.0,0.0,0.4473,0.4473,0.751,0.751,,
0.0,0.0,0.3333,0.3333,,,0.0,0.0,0.5645,0.5645,,
0.0,0.0,,,,,0.0,0.0,,,,
1.131,1.131,1.286,1.286,1.4,1.4,1.019,1.019,1.182,1.182,1.143,1.143
0.3777,0.3777,0.2174,0.2174,0.1666,0.1666,0.68,0.68,0.4216,0.4216,0.3835,0.3835
0.337,0.337,0.5,0.5,0.6,0.6,0.6675,0.6675,0.694,0.694,0.754,0.754
0.75,0.75,0.2727,0.2727,,,0.9575,0.9575,0.7026,0.7026,,
0.75,0.75,0.696,0.696,,,0.5,0.5,0.974,0.974,,
0.25,0.25,0.4348,0.4348,,,0.5,0.5,0.8955,0.8955,,
0.2,0.2,0.2307,0.2307,1.0,1.0,0.4473,0.4473,0.4297,0.4297,,
0.2,0.2,0.2307,0.2307,0.0,0.0,0.4473,0.4473,0.587,0.587,,
0.0,0.0,0.2778,0.2778,,,0.0,0.0,0.5747,0.5747,,
0.75,0.75,0.5,0.5,,,0.5,0.5,0.618,0.618,,
0.08887,0.08887,0.1305,0.1305,0.1111,0.1111,0.2861,0.2861,0.3442,0.3442,0.3235,0.3235
0.1349,0.1349,0.0952,0.0952,0.05884,0.05884,0.375,0.375,0.3008,0.3008,0.2426,0.2426
0.1222,0.1222,0.1666,0.1666,0.1666,0.1666,0.3293,0.3293,0.3806,0.3806,0.3835,0.3835
1.2,1.2,0.5356,0.5356,3.0,3.0,1.304,1.304,0.838,0.838,,
0.4,0.4,1.0,1.0,1.0,1.0,0.548,0.548,1.633,1.633,,
0.5,0.5,1.087,1.087,,,1.0,1.0,2.645,2.645,,
0.0,0.0,0.1482,0.1482,0.0,0.0,0.0,0.0,0.362,0.362,,
0.4456,0.4456,0.75,0.75,0.45,0.45,0.8433,0.8433,1.378,1.378,0.9443,0.9443
0.4382,0.4382,0.5264,0.5264,0.5293,0.5293,0.7065,0.7065,0.612,0.612,0.624,0.624
0.4065,0.4065,0.36,0.36,0.3684,0.3684,0.73,0.73,0.569,0.569,0.4956,0.4956
0.8,0.8,0.4443,0.4443,0.0,0.0,0.8364,0.8364,0.751,0.751,,
0.0,0.0,0.1482,0.1482,0.0,0.0,0.0,0.0,0.362,0.362,,
0.3333,0.3333,,,,,0.577,0.577,,,,
1.2,1.2,1.481,1.481,2.0,2.0,0.8364,0.8364,1.784,1.784,,
0.8,0.8,1.571,1.571,0.0,0.0,0.8364,0.8364,1.597,1.597,,
2.2,2.2,1.107,1.107,0.0,0.0,3.834,3.834,1.101,1.101,,
0.4,0.4,0.5,0.5,0.0,0.0,0.548,0.548,0.745,0.745,,
0.923,0.923,1.223,1.223,1.053,1.053,1.231,1.231,1.477,1.477,1.471,1.471
1.148,1.148,0.9414,0.9414,0.75,0.75,1.185,1.185,1.298,1.298,1.064,1.064
1.594,1.594,1.37,1.37,1.685,1.685,1.445,1.445,1.572,1.572,1.733,1.733
2.6,2.6,2.072,2.072,3.0,3.0,1.673,1.673,1.608,1.608,,
7.0,7.0,4.035,4.035,9.0,9.0,4.69,4.69,2.56,2.56,,
1.0,1.0,1.821,1.821,1.0,1.0,1.0,1.0,2.074,2.074,,
0.8,0.8,0.5356,0.5356,0.0,0.0,1.096,1.096,0.838,0.838,,
1.2,1.2,0.9287,0.9287,2.0,2.0,0.8364,0.8364,1.961,1.961,,
0.8,0.8,1.536,1.536,1.0,1.0,1.304,1.304,1.71,1.71,,
0.0,0.0,0.3333,0.3333,0.0,0.0,0.0,0.0,0.62,0.62,,
0.6665,0.6665,,,,,1.154,1.154,,,,
0.1538,0.1538,0.2307,0.2307,0.0,0.0,0.5757,0.5757,1.177,1.177,0.0,0.0
0.4395,0.4395,0.4814,0.4814,0.3684,0.3684,0.846,0.846,0.849,0.849,0.4956,0.4956
0.2,0.2,0.643,0.643,0.0,0.0,0.4473,0.4473,0.7803,0.7803,,
1.8,1.8,1.679,1.679,1.0,1.0,1.483,1.483,1.307,1.307,,
0.4,0.4,0.893,0.893,0.0,0.0,0.8945,0.8945,1.134,1.134,,
0.8,0.8,0.8213,0.8213,1.0,1.0,0.8364,0.8364,1.249,1.249,,
0.0,0.0,0.6665,0.6665,0.0,0.0,0.0,0.0,0.7847,0.7847,,
0.8,0.8,0.815,0.815,0.0,0.0,0.8364,0.8364,1.57,1.57,,
