snap_transform_1,snap_transform_2,next_event_type_1,last_event_type_1,days_since_event,days_until_event
4,47,Religious,Religious,0,0
3,46,Religious,Religious,0,0
3,46,Religious,Religious,0,0
3,46,Religious,Religious,0,0
0,2,Religious,Religious,0,0
0,2,Religious,Religious,0,0
0,2,Religious,Religious,0,0
4,47,Religious,Religious,0,0
4,47,Religious,Religious,0,0
4,47,Religious,Religious,0,0
4,47,Religious,Religious,0,0
3,46,Religious,Religious,0,0
3,46,Religious,Religious,0,0
3,46,Religious,Religious,0,0
0,2,Religious,Religious,0,0
0,2,Religious,Religious,0,0
0,2,Religious,Religious,0,0
4,47,Religious,Religious,0,0
4,47,Religious,Religious,0,0
4,47,Religious,Religious,0,0
4,47,Religious,Religious,0,0
3,46,Religious,Religious,0,0
3,46,Religious,Religious,0,0
3,46,Religious,Religious,0,0
0,2,Religious,Religious,0,0
0,2,Religious,Religious,0,0
0,2,Religious,Religious,0,0
5,48,National,Religious,1,10
5,48,National,Religious,1,10
5,48,National,Religious,1,10
5,48,National,Religious,1,10
0,3,National,Religious,1,10
0,3,National,Religious,1,10
0,3,National,Religious,1,10
3,46,National,Religious,1,10
3,46,National,Religious,1,10
3,46,National,Religious,1,10
5,48,National,Religious,1,10
5,48,National,Religious,1,10
5,48,National,Religious,1,10
5,48,National,Religious,1,10
0,3,National,Religious,1,10
0,3,National,Religious,1,10
0,3,National,Religious,1,10
3,46,National,Religious,1,10
3,46,National,Religious,1,10
3,46,National,Religious,1,10
5,48,National,Religious,1,10
5,48,National,Religious,1,10
5,48,National,Religious,1,10
5,48,National,Religious,1,10
0,3,National,Religious,1,10
0,3,National,Religious,1,10
0,3,National,Religious,1,10
3,46,National,Religious,1,10
3,46,National,Religious,1,10
3,46,National,Religious,1,10
5,48,National,Religious,1,10
5,48,National,Religious,1,10
5,48,National,Religious,1,10
5,48,National,Religious,1,10
0,3,National,Religious,1,10
0,3,National,Religious,1,10
0,3,National,Religious,1,10
3,46,National,Religious,1,10
3,46,National,Religious,1,10
3,46,National,Religious,1,10
5,48,National,Religious,1,10
5,48,National,Religious,1,10
5,48,National,Religious,1,10
5,48,National,Religious,1,10
0,3,National,Religious,1,10
0,3,National,Religious,1,10
0,3,National,Religious,1,10
3,46,National,Religious,1,10
3,46,National,Religious,1,10
3,46,National,Religious,1,10
5,48,National,Religious,1,10
5,48,National,Religious,1,10
5,48,National,Religious,1,10
5,48,National,Religious,1,10
0,3,National,Religious,1,10
0,3,National,Religious,1,10
0,3,National,Religious,1,10
3,46,National,Religious,1,10
3,46,National,Religious,1,10
3,46,National,Religious,1,10
5,48,National,Religious,1,10
5,48,National,Religious,1,10
5,48,National,Religious,1,10
5,48,National,Religious,1,10
0,3,National,Religious,1,10
0,3,National,Religious,1,10
0,3,National,Religious,1,10
3,46,National,Religious,1,10
3,46,National,Religious,1,10
3,46,National,Religious,1,10
6,49,National,Religious,2,9
6,49,National,Religious,2,9
6,49,National,Religious,2,9
6,49,National,Religious,2,9
4,47,National,Religious,2,9
4,47,National,Religious,2,9
4,47,National,Religious,2,9
4,47,National,Religious,2,9
4,47,National,Religious,2,9
4,47,National,Religious,2,9
6,49,National,Religious,2,9
6,49,National,Religious,2,9
6,49,National,Religious,2,9
6,49,National,Religious,2,9
4,47,National,Religious,2,9
4,47,National,Religious,2,9
4,47,National,Religious,2,9
4,47,National,Religious,2,9
4,47,National,Religious,2,9
4,47,National,Religious,2,9
6,49,National,Religious,2,9
6,49,National,Religious,2,9
6,49,National,Religious,2,9
6,49,National,Religious,2,9
4,47,National,Religious,2,9
4,47,National,Religious,2,9
4,47,National,Religious,2,9
4,47,National,Religious,2,9
4,47,National,Religious,2,9
4,47,National,Religious,2,9
6,49,National,Religious,2,9
6,49,National,Religious,2,9
6,49,National,Religious,2,9
6,49,National,Religious,2,9
4,47,National,Religious,2,9
4,47,National,Religious,2,9
4,47,National,Religious,2,9
4,47,National,Religious,2,9
4,47,National,Religious,2,9
4,47,National,Religious,2,9
6,49,National,Religious,2,9
6,49,National,Religious,2,9
6,49,National,Religious,2,9
6,49,National,Religious,2,9
4,47,National,Religious,2,9
4,47,National,Religious,2,9
4,47,National,Religious,2,9
4,47,National,Religious,2,9
4,47,National,Religious,2,9
4,47,National,Religious,2,9
6,49,National,Religious,2,9
6,49,National,Religious,2,9
6,49,National,Religious,2,9
6,49,National,Religious,2,9
4,47,National,Religious,2,9
4,47,National,Religious,2,9
4,47,National,Religious,2,9
4,47,National,Religious,2,9
4,47,National,Religious,2,9
4,47,National,Religious,2,9
6,49,National,Religious,2,9
6,49,National,Religious,2,9
6,49,National,Religious,2,9
6,49,National,Religious,2,9
4,47,National,Religious,2,9
4,47,National,Religious,2,9
4,47,National,Religious,2,9
4,47,National,Religious,2,9
4,47,National,Religious,2,9
4,47,National,Religious,2,9
7,50,National,Religious,3,8
7,50,National,Religious,3,8
7,50,National,Religious,3,8
7,50,National,Religious,3,8
0,4,National,Religious,3,8
0,4,National,Religious,3,8
0,4,National,Religious,3,8
0,3,National,Religious,3,8
0,3,National,Religious,3,8
0,3,National,Religious,3,8
7,50,National,Religious,3,8
7,50,National,Religious,3,8
7,50,National,Religious,3,8
7,50,National,Religious,3,8
0,4,National,Religious,3,8
0,4,National,Religious,3,8
0,4,National,Religious,3,8
0,3,National,Religious,3,8
0,3,National,Religious,3,8
0,3,National,Religious,3,8
7,50,National,Religious,3,8
7,50,National,Religious,3,8
7,50,National,Religious,3,8
7,50,National,Religious,3,8
0,4,National,Religious,3,8
0,4,National,Religious,3,8
0,4,National,Religious,3,8
0,3,National,Religious,3,8
0,3,National,Religious,3,8
0,3,National,Religious,3,8
7,50,National,Religious,3,8
7,50,National,Religious,3,8
7,50,National,Religious,3,8
7,50,National,Religious,3,8
0,4,National,Religious,3,8
0,4,National,Religious,3,8
0,4,National,Religious,3,8
0,3,National,Religious,3,8
0,3,National,Religious,3,8
0,3,National,Religious,3,8
7,50,National,Religious,3,8
7,50,National,Religious,3,8
7,50,National,Religious,3,8
7,50,National,Religious,3,8
0,4,National,Religious,3,8
0,4,National,Religious,3,8
0,4,National,Religious,3,8
0,3,National,Religious,3,8
0,3,National,Religious,3,8
0,3,National,Religious,3,8
7,50,National,Religious,3,8
7,50,National,Religious,3,8
7,50,National,Religious,3,8
7,50,National,Religious,3,8
0,4,National,Religious,3,8
0,4,National,Religious,3,8
0,4,National,Religious,3,8
0,3,National,Religious,3,8
0,3,National,Religious,3,8
0,3,National,Religious,3,8
7,50,National,Religious,3,8
7,50,National,Religious,3,8
7,50,National,Religious,3,8
7,50,National,Religious,3,8
0,4,National,Religious,3,8
0,4,National,Religious,3,8
0,4,National,Religious,3,8
0,3,National,Religious,3,8
0,3,National,Religious,3,8
0,3,National,Religious,3,8
0,16,National,Religious,4,7
0,16,National,Religious,4,7
0,16,National,Religious,4,7
0,16,National,Religious,4,7
5,48,National,Religious,4,7
5,48,National,Religious,4,7
5,48,National,Religious,4,7
5,48,National,Religious,4,7
5,48,National,Religious,4,7
5,48,National,Religious,4,7
0,16,National,Religious,4,7
0,16,National,Religious,4,7
0,16,National,Religious,4,7
0,16,National,Religious,4,7
5,48,National,Religious,4,7
5,48,National,Religious,4,7
5,48,National,Religious,4,7
5,48,National,Religious,4,7
5,48,National,Religious,4,7
5,48,National,Religious,4,7
0,16,National,Religious,4,7
0,16,National,Religious,4,7
0,16,National,Religious,4,7
0,16,National,Religious,4,7
5,48,National,Religious,4,7
5,48,National,Religious,4,7
5,48,National,Religious,4,7
5,48,National,Religious,4,7
5,48,National,Religious,4,7
5,48,National,Religious,4,7
0,16,National,Religious,4,7
0,16,National,Religious,4,7
0,16,National,Religious,4,7
0,16,National,Religious,4,7
5,48,National,Religious,4,7
5,48,National,Religious,4,7
5,48,National,Religious,4,7
5,48,National,Religious,4,7
5,48,National,Religious,4,7
5,48,National,Religious,4,7
0,16,National,Religious,4,7
0,16,National,Religious,4,7
0,16,National,Religious,4,7
0,16,National,Religious,4,7
5,48,National,Religious,4,7
5,48,National,Religious,4,7
5,48,National,Religious,4,7
5,48,National,Religious,4,7
5,48,National,Religious,4,7
5,48,National,Religious,4,7
0,16,National,Religious,4,7
0,16,National,Religious,4,7
0,16,National,Religious,4,7
0,16,National,Religious,4,7
5,48,National,Religious,4,7
5,48,National,Religious,4,7
5,48,National,Religious,4,7
5,48,National,Religious,4,7
5,48,National,Religious,4,7
5,48,National,Religious,4,7
0,16,National,Religious,4,7
0,16,National,Religious,4,7
0,16,National,Religious,4,7
0,16,National,Religious,4,7
5,48,National,Religious,4,7
5,48,National,Religious,4,7
5,48,National,Religious,4,7
5,48,National,Religious,4,7
5,48,National,Religious,4,7
5,48,National,Religious,4,7
0,17,National,Religious,5,6
0,17,National,Religious,5,6
0,17,National,Religious,5,6
0,17,National,Religious,5,6
6,49,National,Religious,5,6
6,49,National,Religious,5,6
6,49,National,Religious,5,6
6,49,National,Religious,5,6
6,49,National,Religious,5,6
6,49,National,Religious,5,6
0,17,National,Religious,5,6
0,17,National,Religious,5,6
0,17,National,Religious,5,6
0,17,National,Religious,5,6
6,49,National,Religious,5,6
6,49,National,Religious,5,6
6,49,National,Religious,5,6
6,49,National,Religious,5,6
6,49,National,Religious,5,6
6,49,National,Religious,5,6
0,17,National,Religious,5,6
0,17,National,Religious,5,6
0,17,National,Religious,5,6
0,17,National,Religious,5,6
6,49,National,Religious,5,6
6,49,National,Religious,5,6
6,49,National,Religious,5,6
6,49,National,Religious,5,6
6,49,National,Religious,5,6
6,49,National,Religious,5,6
0,17,National,Religious,5,6
0,17,National,Religious,5,6
0,17,National,Religious,5,6
0,17,National,Religious,5,6
6,49,National,Religious,5,6
6,49,National,Religious,5,6
6,49,National,Religious,5,6
6,49,National,Religious,5,6
6,49,National,Religious,5,6
6,49,National,Religious,5,6
0,17,National,Religious,5,6
0,17,National,Religious,5,6
0,17,National,Religious,5,6
0,17,National,Religious,5,6
6,49,National,Religious,5,6
6,49,National,Religious,5,6
6,49,National,Religious,5,6
6,49,National,Religious,5,6
6,49,National,Religious,5,6
6,49,National,Religious,5,6
0,17,National,Religious,5,6
0,17,National,Religious,5,6
0,17,National,Religious,5,6
0,17,National,Religious,5,6
6,49,National,Religious,5,6
6,49,National,Religious,5,6
6,49,National,Religious,5,6
6,49,National,Religious,5,6
6,49,National,Religious,5,6
6,49,National,Religious,5,6
0,17,National,Religious,5,6
0,17,National,Religious,5,6
0,17,National,Religious,5,6
0,17,National,Religious,5,6
6,49,National,Religious,5,6
6,49,National,Religious,5,6
6,49,National,Religious,5,6
6,49,National,Religious,5,6
6,49,National,Religious,5,6
6,49,National,Religious,5,6
0,18,National,Religious,6,5
0,18,National,Religious,6,5
0,18,National,Religious,6,5
0,18,National,Religious,6,5
7,50,National,Religious,6,5
7,50,National,Religious,6,5
7,50,National,Religious,6,5
0,4,National,Religious,6,5
0,4,National,Religious,6,5
0,4,National,Religious,6,5
0,18,National,Religious,6,5
0,18,National,Religious,6,5
0,18,National,Religious,6,5
0,18,National,Religious,6,5
7,50,National,Religious,6,5
7,50,National,Religious,6,5
7,50,National,Religious,6,5
0,4,National,Religious,6,5
0,4,National,Religious,6,5
0,4,National,Religious,6,5
0,18,National,Religious,6,5
0,18,National,Religious,6,5
0,18,National,Religious,6,5
0,18,National,Religious,6,5
7,50,National,Religious,6,5
7,50,National,Religious,6,5
7,50,National,Religious,6,5
0,4,National,Religious,6,5
0,4,National,Religious,6,5
0,4,National,Religious,6,5
0,18,National,Religious,6,5
0,18,National,Religious,6,5
0,18,National,Religious,6,5
0,18,National,Religious,6,5
7,50,National,Religious,6,5
7,50,National,Religious,6,5
7,50,National,Religious,6,5
0,4,National,Religious,6,5
0,4,National,Religious,6,5
0,4,National,Religious,6,5
0,18,National,Religious,6,5
0,18,National,Religious,6,5
0,18,National,Religious,6,5
0,18,National,Religious,6,5
7,50,National,Religious,6,5
7,50,National,Religious,6,5
7,50,National,Religious,6,5
0,4,National,Religious,6,5
0,4,National,Religious,6,5
0,4,National,Religious,6,5
0,18,National,Religious,6,5
0,18,National,Religious,6,5
0,18,National,Religious,6,5
0,18,National,Religious,6,5
7,50,National,Religious,6,5
7,50,National,Religious,6,5
7,50,National,Religious,6,5
0,4,National,Religious,6,5
0,4,National,Religious,6,5
0,4,National,Religious,6,5
0,18,National,Religious,6,5
0,18,National,Religious,6,5
0,18,National,Religious,6,5
0,18,National,Religious,6,5
7,50,National,Religious,6,5
7,50,National,Religious,6,5
7,50,National,Religious,6,5
0,4,National,Religious,6,5
0,4,National,Religious,6,5
0,4,National,Religious,6,5
0,19,National,Religious,7,4
0,19,National,Religious,7,4
0,19,National,Religious,7,4
0,19,National,Religious,7,4
0,5,National,Religious,7,4
0,5,National,Religious,7,4
0,5,National,Religious,7,4
7,50,National,Religious,7,4
7,50,National,Religious,7,4
7,50,National,Religious,7,4
0,19,National,Religious,7,4
0,19,National,Religious,7,4
0,19,National,Religious,7,4
0,19,National,Religious,7,4
0,5,National,Religious,7,4
0,5,National,Religious,7,4
0,5,National,Religious,7,4
7,50,National,Religious,7,4
7,50,National,Religious,7,4
7,50,National,Religious,7,4
0,19,National,Religious,7,4
0,19,National,Religious,7,4
0,19,National,Religious,7,4
0,19,National,Religious,7,4
0,5,National,Religious,7,4
0,5,National,Religious,7,4
0,5,National,Religious,7,4
7,50,National,Religious,7,4
7,50,National,Religious,7,4
7,50,National,Religious,7,4
0,19,National,Religious,7,4
0,19,National,Religious,7,4
0,19,National,Religious,7,4
0,19,National,Religious,7,4
0,5,National,Religious,7,4
0,5,National,Religious,7,4
0,5,National,Religious,7,4
7,50,National,Religious,7,4
7,50,National,Religious,7,4
7,50,National,Religious,7,4
0,19,National,Religious,7,4
0,19,National,Religious,7,4
0,19,National,Religious,7,4
0,19,National,Religious,7,4
0,5,National,Religious,7,4
0,5,National,Religious,7,4
0,5,National,Religious,7,4
7,50,National,Religious,7,4
7,50,National,Religious,7,4
7,50,National,Religious,7,4
0,19,National,Religious,7,4
0,19,National,Religious,7,4
0,19,National,Religious,7,4
0,19,National,Religious,7,4
0,5,National,Religious,7,4
0,5,National,Religious,7,4
0,5,National,Religious,7,4
7,50,National,Religious,7,4
7,50,National,Religious,7,4
7,50,National,Religious,7,4
0,19,National,Religious,7,4
0,19,National,Religious,7,4
0,19,National,Religious,7,4
0,19,National,Religious,7,4
0,5,National,Religious,7,4
0,5,National,Religious,7,4
0,5,National,Religious,7,4
7,50,National,Religious,7,4
7,50,National,Religious,7,4
7,50,National,Religious,7,4
0,20,National,Religious,8,3
0,20,National,Religious,8,3
0,20,National,Religious,8,3
0,20,National,Religious,8,3
8,41,National,Religious,8,3
8,41,National,Religious,8,3
8,41,National,Religious,8,3
8,41,National,Religious,8,3
8,41,National,Religious,8,3
8,41,National,Religious,8,3
0,20,National,Religious,8,3
0,20,National,Religious,8,3
0,20,National,Religious,8,3
0,20,National,Religious,8,3
8,41,National,Religious,8,3
8,41,National,Religious,8,3
8,41,National,Religious,8,3
8,41,National,Religious,8,3
8,41,National,Religious,8,3
8,41,National,Religious,8,3
0,20,National,Religious,8,3
0,20,National,Religious,8,3
0,20,National,Religious,8,3
0,20,National,Religious,8,3
8,41,National,Religious,8,3
8,41,National,Religious,8,3
8,41,National,Religious,8,3
8,41,National,Religious,8,3
8,41,National,Religious,8,3
8,41,National,Religious,8,3
0,20,National,Religious,8,3
0,20,National,Religious,8,3
0,20,National,Religious,8,3
0,20,National,Religious,8,3
8,41,National,Religious,8,3
8,41,National,Religious,8,3
8,41,National,Religious,8,3
8,41,National,Religious,8,3
8,41,National,Religious,8,3
8,41,National,Religious,8,3
0,20,National,Religious,8,3
0,20,National,Religious,8,3
0,20,National,Religious,8,3
0,20,National,Religious,8,3
8,41,National,Religious,8,3
8,41,National,Religious,8,3
8,41,National,Religious,8,3
8,41,National,Religious,8,3
8,41,National,Religious,8,3
8,41,National,Religious,8,3
0,20,National,Religious,8,3
0,20,National,Religious,8,3
0,20,National,Religious,8,3
0,20,National,Religious,8,3
8,41,National,Religious,8,3
8,41,National,Religious,8,3
8,41,National,Religious,8,3
8,41,National,Religious,8,3
8,41,National,Religious,8,3
8,41,National,Religious,8,3
0,20,National,Religious,8,3
0,20,National,Religious,8,3
0,20,National,Religious,8,3
0,20,National,Religious,8,3
8,41,National,Religious,8,3
8,41,National,Religious,8,3
8,41,National,Religious,8,3
8,41,National,Religious,8,3
8,41,National,Religious,8,3
8,41,National,Religious,8,3
0,21,National,Religious,9,2
0,21,National,Religious,9,2
0,21,National,Religious,9,2
0,21,National,Religious,9,2
0,16,National,Religious,9,2
0,16,National,Religious,9,2
0,16,National,Religious,9,2
0,16,National,Religious,9,2
0,16,National,Religious,9,2
0,16,National,Religious,9,2
0,21,National,Religious,9,2
0,21,National,Religious,9,2
0,21,National,Religious,9,2
0,21,National,Religious,9,2
0,16,National,Religious,9,2
0,16,National,Religious,9,2
0,16,National,Religious,9,2
0,16,National,Religious,9,2
0,16,National,Religious,9,2
0,16,National,Religious,9,2
0,21,National,Religious,9,2
0,21,National,Religious,9,2
0,21,National,Religious,9,2
0,21,National,Religious,9,2
0,16,National,Religious,9,2
0,16,National,Religious,9,2
0,16,National,Religious,9,2
0,16,National,Religious,9,2
0,16,National,Religious,9,2
0,16,National,Religious,9,2
0,21,National,Religious,9,2
0,21,National,Religious,9,2
0,21,National,Religious,9,2
0,21,National,Religious,9,2
0,16,National,Religious,9,2
0,16,National,Religious,9,2
0,16,National,Religious,9,2
0,16,National,Religious,9,2
0,16,National,Religious,9,2
0,16,National,Religious,9,2
0,21,National,Religious,9,2
0,21,National,Religious,9,2
0,21,National,Religious,9,2
0,21,National,Religious,9,2
0,16,National,Religious,9,2
0,16,National,Religious,9,2
0,16,National,Religious,9,2
0,16,National,Religious,9,2
0,16,National,Religious,9,2
0,16,National,Religious,9,2
0,21,National,Religious,9,2
0,21,National,Religious,9,2
0,21,National,Religious,9,2
0,21,National,Religious,9,2
0,16,National,Religious,9,2
0,16,National,Religious,9,2
0,16,National,Religious,9,2
0,16,National,Religious,9,2
0,16,National,Religious,9,2
0,16,National,Religious,9,2
0,21,National,Religious,9,2
0,21,National,Religious,9,2
0,21,National,Religious,9,2
0,21,National,Religious,9,2
0,16,National,Religious,9,2
0,16,National,Religious,9,2
0,16,National,Religious,9,2
0,16,National,Religious,9,2
0,16,National,Religious,9,2
0,16,National,Religious,9,2
0,22,National,Religious,10,1
0,22,National,Religious,10,1
0,22,National,Religious,10,1
0,22,National,Religious,10,1
0,17,National,Religious,10,1
0,17,National,Religious,10,1
0,17,National,Religious,10,1
0,17,National,Religious,10,1
0,17,National,Religious,10,1
0,17,National,Religious,10,1
0,22,National,Religious,10,1
0,22,National,Religious,10,1
0,22,National,Religious,10,1
0,22,National,Religious,10,1
0,17,National,Religious,10,1
0,17,National,Religious,10,1
0,17,National,Religious,10,1
0,17,National,Religious,10,1
0,17,National,Religious,10,1
0,17,National,Religious,10,1
0,22,National,Religious,10,1
0,22,National,Religious,10,1
0,22,National,Religious,10,1
0,22,National,Religious,10,1
0,17,National,Religious,10,1
0,17,National,Religious,10,1
0,17,National,Religious,10,1
0,17,National,Religious,10,1
0,17,National,Religious,10,1
0,17,National,Religious,10,1
0,22,National,Religious,10,1
0,22,National,Religious,10,1
0,22,National,Religious,10,1
0,22,National,Religious,10,1
0,17,National,Religious,10,1
0,17,National,Religious,10,1
0,17,National,Religious,10,1
0,17,National,Religious,10,1
0,17,National,Religious,10,1
0,17,National,Religious,10,1
0,22,National,Religious,10,1
0,22,National,Religious,10,1
0,22,National,Religious,10,1
0,22,National,Religious,10,1
0,17,National,Religious,10,1
0,17,National,Religious,10,1
0,17,National,Religious,10,1
0,17,National,Religious,10,1
0,17,National,Religious,10,1
0,17,National,Religious,10,1
0,22,National,Religious,10,1
0,22,National,Religious,10,1
0,22,National,Religious,10,1
0,22,National,Religious,10,1
0,17,National,Religious,10,1
0,17,National,Religious,10,1
0,17,National,Religious,10,1
0,17,National,Religious,10,1
0,17,National,Religious,10,1
0,17,National,Religious,10,1
0,22,National,Religious,10,1
0,22,National,Religious,10,1
0,22,National,Religious,10,1
0,22,National,Religious,10,1
0,17,National,Religious,10,1
0,17,National,Religious,10,1
0,17,National,Religious,10,1
0,17,National,Religious,10,1
0,17,National,Religious,10,1
0,17,National,Religious,10,1
0,22,National,National,0,0
0,22,National,National,0,0
0,22,National,National,0,0
0,22,National,National,0,0
0,18,National,National,0,0
0,18,National,National,0,0
0,18,National,National,0,0
0,18,National,National,0,0
0,18,National,National,0,0
0,18,National,National,0,0
0,22,National,National,0,0
0,22,National,National,0,0
0,22,National,National,0,0
0,22,National,National,0,0
0,18,National,National,0,0
0,18,National,National,0,0
0,18,National,National,0,0
0,18,National,National,0,0
0,18,National,National,0,0
0,18,National,National,0,0
