lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14
1.0,,,,,,,,,,,,,
,,,,,,,,,,,,,
1.0,,,,,,,,,,,,,
1.0,1.0,,,,,,,,,,,,
2.0,2.0,,,,,,,,,,,,
0.0,1.0,,,,,,,,,,,,
1.0,,,,,,,,,,,,,
,,,,,,,,,,,,,
1.0,,,,,,,,,,,,,
3.0,4.0,,,,,,,,,,,,
2.0,3.0,,,,,,,,,,,,
1.0,5.0,,,,,,,,,,,,
0.0,1.0,,,,,,,,,,,,
0.0,1.0,,,,,,,,,,,,
0.0,2.0,,,,,,,,,,,,
1.0,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1.0,,,,,,,,,,,,,
0.0,1.0,,,,,,,,,,,,
3.0,1.0,,,,,,,,,,,,
1.0,1.0,,,,,,,,,,,,
0.0,2.0,,,,,,,,,,,,
1.0,,,,,,,,,,,,,
5.0,,,,,,,,,,,,,
1.0,1.0,,,,,,,,,,,,
,,,,,,,,,,,,,
0.0,1.0,,,,,,,,,,,,
,,,,,,,,,,,,,
0.0,2.0,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1.0,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
0.0,1.0,,,,,,,,,,,,
0.0,1.0,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1.0,,,,,,,,,,,,,
1.0,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
0.0,1.0,,,,,,,,,,,,
,,,,,,,,,,,,,
0.0,2.0,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
0.0,0.0,1.0,,,,,,,,,,,
0.0,6.0,1.0,,,,,,,,,,,
,,,,,,,,,,,,,
0.0,1.0,,,,,,,,,,,,
2.0,0.0,1.0,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
0.0,2.0,,,,,,,,,,,,
0.0,1.0,,,,,,,,,,,,
,,,,,,,,,,,,,
0.0,1.0,,,,,,,,,,,,
1.0,1.0,1.0,,,,,,,,,,,
2.0,2.0,2.0,,,,,,,,,,,
0.0,0.0,1.0,,,,,,,,,,,
0.0,1.0,,,,,,,,,,,,
,,,,,,,,,,,,,
1.0,1.0,,,,,,,,,,,,
5.0,3.0,4.0,,,,,,,,,,,
6.0,2.0,3.0,,,,,,,,,,,
1.0,1.0,5.0,,,,,,,,,,,
2.0,0.0,1.0,,,,,,,,,,,
0.0,0.0,1.0,,,,,,,,,,,
1.0,0.0,2.0,,,,,,,,,,,
0.0,1.0,,,,,,,,,,,,
,,,,,,,,,,,,,
6.0,,,,,,,,,,,,,
0.0,1.0,,,,,,,,,,,,
0.0,0.0,1.0,,,,,,,,,,,
4.0,3.0,1.0,,,,,,,,,,,
0.0,1.0,1.0,,,,,,,,,,,
1.0,0.0,2.0,,,,,,,,,,,
0.0,1.0,,,,,,,,,,,,
0.0,5.0,,,,,,,,,,,,
1.0,1.0,1.0,,,,,,,,,,,
,,,,,,,,,,,,,
2.0,0.0,1.0,,,,,,,,,,,
,,,,,,,,,,,,,
1.0,0.0,2.0,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
0.0,1.0,,,,,,,,,,,,
,,,,,,,,,,,,,
1.0,,,,,,,,,,,,,
0.0,0.0,1.0,,,,,,,,,,,
0.0,0.0,1.0,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1.0,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1.0,1.0,,,,,,,,,,,,
1.0,1.0,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1.0,0.0,1.0,,,,,,,,,,,
,,,,,,,,,,,,,
0.0,0.0,2.0,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1.0,,,,,,,,,,,,,
1.0,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
0.0,0.0,0.0,1.0,,,,,,,,,,
0.0,0.0,6.0,1.0,,,,,,,,,,
,,,,,,,,,,,,,
0.0,0.0,1.0,,,,,,,,,,,
1.0,2.0,0.0,1.0,,,,,,,,,,
,,,,,,,,,,,,,
2.0,,,,,,,,,,,,,
0.0,0.0,2.0,,,,,,,,,,,
0.0,0.0,1.0,,,,,,,,,,,
,,,,,,,,,,,,,
0.0,0.0,1.0,,,,,,,,,,,
0.0,1.0,1.0,1.0,,,,,,,,,,
0.0,2.0,2.0,2.0,,,,,,,,,,
0.0,0.0,0.0,1.0,,,,,,,,,,
1.0,0.0,1.0,,,,,,,,,,,
,,,,,,,,,,,,,
1.0,1.0,1.0,,,,,,,,,,,
0.0,5.0,3.0,4.0,,,,,,,,,,
0.0,6.0,2.0,3.0,,,,,,,,,,
1.0,1.0,1.0,5.0,,,,,,,,,,
0.0,2.0,0.0,1.0,,,,,,,,,,
0.0,0.0,0.0,1.0,,,,,,,,,,
1.0,1.0,0.0,2.0,,,,,,,,,,
0.0,0.0,1.0,,,,,,,,,,,
,,,,,,,,,,,,,
0.0,6.0,,,,,,,,,,,,
1.0,0.0,1.0,,,,,,,,,,,
0.0,0.0,0.0,1.0,,,,,,,,,,
1.0,4.0,3.0,1.0,,,,,,,,,,
0.0,0.0,1.0,1.0,,,,,,,,,,
0.0,1.0,0.0,2.0,,,,,,,,,,
0.0,0.0,1.0,,,,,,,,,,,
1.0,0.0,5.0,,,,,,,,,,,
0.0,1.0,1.0,1.0,,,,,,,,,,
,,,,,,,,,,,,,
3.0,2.0,0.0,1.0,,,,,,,,,,
3.0,,,,,,,,,,,,,
0.0,1.0,0.0,2.0,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
0.0,0.0,1.0,,,,,,,,,,,
,,,,,,,,,,,,,
0.0,1.0,,,,,,,,,,,,
0.0,0.0,0.0,1.0,,,,,,,,,,
0.0,0.0,0.0,1.0,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1.0,1.0,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
0.0,1.0,1.0,,,,,,,,,,,
0.0,1.0,1.0,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
0.0,1.0,0.0,1.0,,,,,,,,,,
,,,,,,,,,,,,,
0.0,0.0,0.0,2.0,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1.0,1.0,,,,,,,,,,,,
0.0,1.0,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
3.0,0.0,0.0,0.0,1.0,,,,,,,,,
1.0,0.0,0.0,6.0,1.0,,,,,,,,,
,,,,,,,,,,,,,
0.0,0.0,0.0,1.0,,,,,,,,,,
0.0,1.0,2.0,0.0,1.0,,,,,,,,,
,,,,,,,,,,,,,
0.0,2.0,,,,,,,,,,,,
0.0,0.0,0.0,2.0,,,,,,,,,,
0.0,0.0,0.0,1.0,,,,,,,,,,
,,,,,,,,,,,,,
2.0,0.0,0.0,1.0,,,,,,,,,,
0.0,0.0,1.0,1.0,1.0,,,,,,,,,
0.0,0.0,2.0,2.0,2.0,,,,,,,,,
0.0,0.0,0.0,0.0,1.0,,,,,,,,,
0.0,1.0,0.0,1.0,,,,,,,,,,
,,,,,,,,,,,,,
0.0,1.0,1.0,1.0,,,,,,,,,,
3.0,0.0,5.0,3.0,4.0,,,,,,,,,
9.0,0.0,6.0,2.0,3.0,,,,,,,,,
1.0,1.0,1.0,1.0,5.0,,,,,,,,,
0.0,0.0,2.0,0.0,1.0,,,,,,,,,
2.0,0.0,0.0,0.0,1.0,,,,,,,,,
1.0,1.0,1.0,0.0,2.0,,,,,,,,,
0.0,0.0,0.0,1.0,,,,,,,,,,
,,,,,,,,,,,,,
0.0,0.0,6.0,,,,,,,,,,,
1.0,1.0,0.0,1.0,,,,,,,,,,
0.0,0.0,0.0,0.0,1.0,,,,,,,,,
1.0,1.0,4.0,3.0,1.0,,,,,,,,,
0.0,0.0,0.0,1.0,1.0,,,,,,,,,
1.0,0.0,1.0,0.0,2.0,,,,,,,,,
0.0,0.0,0.0,1.0,,,,,,,,,,
0.0,1.0,0.0,5.0,,,,,,,,,,
2.0,0.0,1.0,1.0,1.0,,,,,,,,,
,,,,,,,,,,,,,
1.0,3.0,2.0,0.0,1.0,,,,,,,,,
1.0,3.0,,,,,,,,,,,,
1.0,0.0,1.0,0.0,2.0,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
0.0,0.0,0.0,1.0,,,,,,,,,,
,,,,,,,,,,,,,
0.0,0.0,1.0,,,,,,,,,,,
0.0,0.0,0.0,0.0,1.0,,,,,,,,,
0.0,0.0,0.0,0.0,1.0,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
0.0,1.0,1.0,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
0.0,0.0,1.0,1.0,,,,,,,,,,
0.0,0.0,1.0,1.0,,,,,,,,,,
1.0,,,,,,,,,,,,,
,,,,,,,,,,,,,
0.0,0.0,1.0,0.0,1.0,,,,,,,,,
,,,,,,,,,,,,,
1.0,0.0,0.0,0.0,2.0,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
0.0,1.0,1.0,,,,,,,,,,,
0.0,0.0,1.0,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1.0,,,,,,,,,,,,,
0.0,3.0,0.0,0.0,0.0,1.0,,,,,,,,
2.0,1.0,0.0,0.0,6.0,1.0,,,,,,,,
1.0,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,1.0,,,,,,,,,
2.0,0.0,1.0,2.0,0.0,1.0,,,,,,,,
,,,,,,,,,,,,,
0.0,0.0,2.0,,,,,,,,,,,
0.0,0.0,0.0,0.0,2.0,,,,,,,,,
1.0,0.0,0.0,0.0,1.0,,,,,,,,,
,,,,,,,,,,,,,
7.0,2.0,0.0,0.0,1.0,,,,,,,,,
5.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,
3.0,0.0,0.0,2.0,2.0,2.0,,,,,,,,
1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,
3.0,0.0,1.0,0.0,1.0,,,,,,,,,
,,,,,,,,,,,,,
0.0,0.0,1.0,1.0,1.0,,,,,,,,,
5.0,3.0,0.0,5.0,3.0,4.0,,,,,,,,
6.0,9.0,0.0,6.0,2.0,3.0,,,,,,,,
4.0,1.0,1.0,1.0,1.0,5.0,,,,,,,,
2.0,0.0,0.0,2.0,0.0,1.0,,,,,,,,
1.0,2.0,0.0,0.0,0.0,1.0,,,,,,,,
5.0,1.0,1.0,1.0,0.0,2.0,,,,,,,,
0.0,0.0,0.0,0.0,1.0,,,,,,,,,
,,,,,,,,,,,,,
0.0,0.0,0.0,6.0,,,,,,,,,,
0.0,1.0,1.0,0.0,1.0,,,,,,,,,
1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,
2.0,1.0,1.0,4.0,3.0,1.0,,,,,,,,
0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,
4.0,1.0,0.0,1.0,0.0,2.0,,,,,,,,
2.0,0.0,0.0,0.0,1.0,,,,,,,,,
0.0,0.0,1.0,0.0,5.0,,,,,,,,,
1.0,2.0,0.0,1.0,1.0,1.0,,,,,,,,
,,,,,,,,,,,,,
0.0,1.0,3.0,2.0,0.0,1.0,,,,,,,,
1.0,1.0,3.0,,,,,,,,,,,
0.0,1.0,0.0,1.0,0.0,2.0,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,1.0,,,,,,,,,
,,,,,,,,,,,,,
0.0,0.0,0.0,1.0,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,
0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
0.0,0.0,1.0,1.0,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
0.0,0.0,0.0,1.0,1.0,,,,,,,,,
0.0,0.0,0.0,1.0,1.0,,,,,,,,,
1.0,1.0,,,,,,,,,,,,
,,,,,,,,,,,,,
0.0,0.0,0.0,1.0,0.0,1.0,,,,,,,,
1.0,,,,,,,,,,,,,
0.0,1.0,0.0,0.0,0.0,2.0,,,,,,,,
,,,,,,,,,,,,,
4.0,,,,,,,,,,,,,
1.0,,,,,,,,,,,,,
0.0,0.0,1.0,1.0,,,,,,,,,,
0.0,0.0,0.0,1.0,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1.0,,,,,,,,,,,,,
,,,,,,,,,,,,,
0.0,1.0,,,,,,,,,,,,
0.0,0.0,3.0,0.0,0.0,0.0,1.0,,,,,,,
2.0,2.0,1.0,0.0,0.0,6.0,1.0,,,,,,,
0.0,1.0,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,
1.0,2.0,0.0,1.0,2.0,0.0,1.0,,,,,,,
,,,,,,,,,,,,,
0.0,0.0,0.0,2.0,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,
0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,
,,,,,,,,,,,,,
0.0,7.0,2.0,0.0,0.0,1.0,,,,,,,,
2.0,5.0,0.0,0.0,1.0,1.0,1.0,,,,,,,
1.0,3.0,0.0,0.0,2.0,2.0,2.0,,,,,,,
1.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,
0.0,3.0,0.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,,,,,,,
0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,
1.0,5.0,3.0,0.0,5.0,3.0,4.0,,,,,,,
9.0,6.0,9.0,0.0,6.0,2.0,3.0,,,,,,,
4.0,4.0,1.0,1.0,1.0,1.0,5.0,,,,,,,
0.0,2.0,0.0,0.0,2.0,0.0,1.0,,,,,,,
0.0,1.0,2.0,0.0,0.0,0.0,1.0,,,,,,,
8.0,5.0,1.0,1.0,1.0,0.0,2.0,,,,,,,
1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,
,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,6.0,,,,,,,,,
1.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
1.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,
2.0,2.0,1.0,1.0,4.0,3.0,1.0,,,,,,,
0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,
0.0,4.0,1.0,0.0,1.0,0.0,2.0,,,,,,,
0.0,2.0,0.0,0.0,0.0,1.0,,,,,,,,
6.0,0.0,0.0,1.0,0.0,5.0,,,,,,,,
0.0,1.0,2.0,0.0,1.0,1.0,1.0,,,,,,,
,,,,,,,,,,,,,
1.0,0.0,1.0,3.0,2.0,0.0,1.0,,,,,,,
0.0,1.0,1.0,3.0,,,,,,,,,,
0.0,0.0,1.0,0.0,1.0,0.0,2.0,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,
,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,1.0,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
0.0,0.0,0.0,1.0,1.0,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,
0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,
0.0,1.0,1.0,,,,,,,,,,,
,,,,,,,,,,,,,
1.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,,,
0.0,1.0,,,,,,,,,,,,
1.0,0.0,1.0,0.0,0.0,0.0,2.0,,,,,,,
1.0,,,,,,,,,,,,,
0.0,4.0,,,,,,,,,,,,
0.0,1.0,,,,,,,,,,,,
0.0,0.0,0.0,1.0,1.0,,,,,,,,,
0.0,0.0,0.0,0.0,1.0,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1.0,1.0,,,,,,,,,,,,
,,,,,,,,,,,,,
0.0,0.0,1.0,,,,,,,,,,,
0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,,,,,,
0.0,2.0,2.0,1.0,0.0,0.0,6.0,1.0,,,,,,
3.0,0.0,1.0,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,
1.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,,,,,,
,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,2.0,,,,,,,,,
2.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,
0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,
,,,,,,,,,,,,,
1.0,0.0,7.0,2.0,0.0,0.0,1.0,,,,,,,
2.0,2.0,5.0,0.0,0.0,1.0,1.0,1.0,,,,,,
3.0,1.0,3.0,0.0,0.0,2.0,2.0,2.0,,,,,,
1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,
3.0,0.0,3.0,0.0,1.0,0.0,1.0,,,,,,,
,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,
3.0,1.0,5.0,3.0,0.0,5.0,3.0,4.0,,,,,,
0.0,9.0,6.0,9.0,0.0,6.0,2.0,3.0,,,,,,
4.0,4.0,4.0,1.0,1.0,1.0,1.0,5.0,,,,,,
2.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,,,,,,
0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,,,,,,
1.0,8.0,5.0,1.0,1.0,1.0,0.0,2.0,,,,,,
0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,
,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,6.0,,,,,,,,
4.0,1.0,0.0,1.0,1.0,0.0,1.0,,,,,,,
2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,
5.0,2.0,2.0,1.0,1.0,4.0,3.0,1.0,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,
0.0,0.0,4.0,1.0,0.0,1.0,0.0,2.0,,,,,,
1.0,0.0,2.0,0.0,0.0,0.0,1.0,,,,,,,
0.0,6.0,0.0,0.0,1.0,0.0,5.0,,,,,,,
1.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,,,,,,
,,,,,,,,,,,,,
1.0,1.0,0.0,1.0,3.0,2.0,0.0,1.0,,,,,,
0.0,0.0,1.0,1.0,3.0,,,,,,,,,
1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,,,,,,
1.0,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,
,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1.0,,,,,,,,,,,,,
3.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,
1.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,
0.0,0.0,1.0,1.0,,,,,,,,,,
,,,,,,,,,,,,,
3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,,
0.0,0.0,1.0,,,,,,,,,,,
0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,,,,,,
0.0,1.0,,,,,,,,,,,,
0.0,0.0,4.0,,,,,,,,,,,
1.0,0.0,1.0,,,,,,,,,,,
0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,
0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
0.0,1.0,1.0,,,,,,,,,,,
1.0,,,,,,,,,,,,,
0.0,0.0,0.0,1.0,,,,,,,,,,
0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,,,,,
0.0,0.0,2.0,2.0,1.0,0.0,0.0,6.0,1.0,,,,,
0.0,3.0,0.0,1.0,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,
6.0,1.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,,,,,
,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,
1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,
,,,,,,,,,,,,,
0.0,1.0,0.0,7.0,2.0,0.0,0.0,1.0,,,,,,
1.0,2.0,2.0,5.0,0.0,0.0,1.0,1.0,1.0,,,,,
1.0,3.0,1.0,3.0,0.0,0.0,2.0,2.0,2.0,,,,,
2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,
1.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,,,,,,
,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,
2.0,3.0,1.0,5.0,3.0,0.0,5.0,3.0,4.0,,,,,
1.0,0.0,9.0,6.0,9.0,0.0,6.0,2.0,3.0,,,,,
1.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,5.0,,,,,
0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,,,,,
10.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,,,,,
0.0,1.0,8.0,5.0,1.0,1.0,1.0,0.0,2.0,,,,,
