id,item_id,dept_id,cat_id,store_id,state_id,d_1802,d_1803,d_1804,d_1805,d_1806,d_1807,d_1808,d_1809,d_1810,d_1811,d_1812,d_1813,d_1814,d_1815,d_1816,d_1817,d_1818,d_1819,d_1820,d_1821,d_1822,d_1823,d_1824,d_1825,d_1826,d_1827,d_1828,d_1829,d_1830,d_1831,d_1832,d_1833,d_1834,d_1835,d_1836,d_1837,d_1838,d_1839,d_1840,d_1841,d_1842,d_1843,d_1844,d_1845,d_1846,d_1847,d_1848,d_1849,d_1850,d_1851,d_1852,d_1853,d_1854,d_1855,d_1856,d_1857,d_1858,d_1859,d_1860,d_1861,d_1862,d_1863,d_1864,d_1865,d_1866,d_1867,d_1868,d_1869,d_1870,d_1871,d_1872,d_1873,d_1874,d_1875,d_1876,d_1877,d_1878,d_1879,d_1880,d_1881,d_1882,d_1883,d_1884,d_1885,d_1886,d_1887,d_1888,d_1889,d_1890,d_1891,d_1892,d_1893,d_1894,d_1895,d_1896,d_1897,d_1898,d_1899,d_1900,d_1901,d_1902,d_1903,d_1904,d_1905,d_1906,d_1907,d_1908,d_1909,d_1910,d_1911,d_1912,d_1913,d_1914,d_1915,d_1916,d_1917,d_1918,d_1919,d_1920,d_1921,d_1922,d_1923,d_1924,d_1925,d_1926,d_1927,d_1928,d_1929,d_1930,d_1931,d_1932,d_1933,d_1934,d_1935,d_1936,d_1937,d_1938,d_1939,d_1940,d_1941
FOODS_2_001_CA_1_evaluation,FOODS_2_001,FOODS_2,FOODS,CA_1,CA,0,1,0,0,2,7,0,1,0,1,3,1,6,2,0,0,2,1,1,1,1,3,0,3,0,3,0,1,2,0,1,3,0,0,2,2,0,0,2,0,0,2,1,2,1,1,4,2,2,0,0,1,0,0,3,0,1,1,3,2,1,2,3,2,1,1,0,0,3,1,1,0,1,0,1,0,1,0,0,2,0,1,1,1,2,0,2,0,1,1,2,0,1,2,0,1,0,0,2,0,0,1,2,0,3,1,0,2,0,3,0,1,1,3,0,1,1,0,3,1,1,1,0,0,1,0,3,0,0,0,1,1,2,2,1,0,0,4,2,2
FOODS_2_001_CA_2_evaluation,FOODS_2_001,FOODS_2,FOODS,CA_2,CA,1,1,1,0,0,5,2,2,1,1,2,0,4,1,2,1,0,0,3,4,1,2,0,0,0,2,6,2,0,1,0,5,1,5,2,0,2,4,1,0,4,4,2,0,1,2,3,2,0,3,0,1,2,0,4,1,1,2,0,3,0,3,3,0,2,2,0,5,1,4,1,0,0,2,0,1,0,0,0,0,1,0,5,6,0,1,1,1,1,4,2,2,2,1,3,1,1,4,1,2,0,3,4,2,0,0,1,0,3,2,4,1,0,0,0,1,0,2,1,1,2,0,3,0,4,1,3,0,0,2,2,3,1,1,0,1,1,1,3,2
FOODS_2_001_CA_3_evaluation,FOODS_2_001,FOODS_2,FOODS,CA_3,CA,2,2,2,0,0,3,1,3,1,0,0,2,1,0,0,1,2,0,1,0,1,1,1,1,0,0,2,4,0,0,0,2,0,6,0,0,1,1,4,1,0,4,3,0,1,0,0,2,2,2,0,0,0,3,0,1,1,0,2,4,2,0,1,0,9,5,0,0,2,0,2,4,1,0,1,2,0,2,0,1,0,2,3,0,1,2,0,0,1,1,5,2,0,0,1,1,0,2,0,3,0,1,1,5,0,1,0,1,0,3,0,0,0,0,0,0,1,1,0,0,0,1,1,1,3,1,0,0,1,0,0,2,1,0,0,0,1,1,0,0
FOODS_2_001_CA_4_evaluation,FOODS_2_001,FOODS_2,FOODS,CA_4,CA,1,0,0,0,0,1,1,1,2,0,0,1,0,0,2,0,2,2,0,0,1,0,0,0,0,0,0,0,2,2,1,0,0,2,0,0,0,0,0,3,1,1,1,0,0,1,1,0,1,0,1,1,1,4,0,1,1,0,0,1,1,3,3,1,1,0,0,1,0,1,2,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,1,0,2,2,1,0,0,1,2,0,0,1,0,1,1,1,1,0,1,3,1,0,0,1,0,0,0,1,1,0,2,2,0,1,0,0,1,0,2,0,0,2
FOODS_2_001_TX_1_evaluation,FOODS_2_001,FOODS_2,FOODS,TX_1,TX,0,1,0,1,0,3,0,3,1,4,0,0,1,3,0,1,0,0,2,1,1,2,1,1,0,1,6,0,1,0,3,3,1,1,0,1,4,0,0,1,0,0,4,3,0,2,0,0,1,0,0,0,0,3,1,0,0,3,0,2,2,1,0,1,0,0,1,1,3,1,1,0,0,2,1,1,1,0,0,0,0,0,0,3,2,0,2,1,1,0,2,1,1,3,0,2,1,0,2,4,2,3,0,0,4,1,0,1,0,4,2,0,0,0,4,0,0,2,1,2,2,1,2,1,0,0,2,3,1,1,1,1,4,1,0,1,0,0,0,0
FOODS_2_001_TX_2_evaluation,FOODS_2_001,FOODS_2,FOODS,TX_2,TX,0,0,0,0,0,0,0,0,0,0,0,4,0,2,2,2,2,0,0,0,0,0,0,0,0,3,1,0,1,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,2,1,1,1,1,0,0,1,0,0,0,0,1,1,3,1,1,4,0,0,5,3,3,1,0,1,2,4,0,3,3,4,1,1,1,2,3,0,1,1,1,0,5,2,0,0,0,2,3,1,2,1,0,0,0,1,2,2,2,2,0,3,0,0,2,1,0,2,2,4,0,0,0,0,0,2,0,0,2,3,2,1,3,2,0,1
FOODS_2_001_TX_3_evaluation,FOODS_2_001,FOODS_2,FOODS,TX_3,TX,0,1,1,1,0,0,0,0,0,0,2,2,3,2,0,7,2,0,0,3,2,1,3,1,0,1,3,2,0,0,3,1,3,3,2,0,0,3,0,3,2,3,0,0,2,3,1,2,3,1,1,1,0,2,0,1,1,1,0,0,4,2,2,3,2,1,0,3,0,6,2,0,0,3,1,2,2,2,1,1,3,2,0,0,0,0,0,0,1,1,1,3,1,3,3,2,0,2,4,0,1,0,2,3,3,3,1,1,3,0,2,0,3,1,1,1,0,0,2,1,4,2,2,0,1,2,1,3,3,3,1,3,3,1,6,5,4,0,3,3
FOODS_2_001_WI_1_evaluation,FOODS_2_001,FOODS_2,FOODS,WI_1,WI,4,3,5,0,3,5,1,3,2,4,1,2,1,2,0,5,0,2,1,0,2,4,0,1,2,1,1,3,1,2,1,2,4,2,3,2,2,3,5,5,1,3,2,4,2,0,4,2,1,0,2,0,0,1,3,2,3,0,0,3,2,2,3,2,4,1,6,1,0,1,5,1,1,1,3,0,0,1,0,2,0,1,2,1,1,3,1,0,0,1,4,1,2,1,2,4,5,2,0,0,5,0,2,1,5,2,0,3,3,1,3,1,2,1,1,3,1,3,5,1,0,2,0,3,2,0,1,1,0,3,1,6,0,4,0,3,1,2,0,0
FOODS_2_001_WI_2_evaluation,FOODS_2_001,FOODS_2,FOODS,WI_2,WI,3,2,6,0,9,6,9,0,1,4,3,3,5,8,5,1,2,5,6,4,2,2,5,2,3,8,6,3,7,4,14,6,7,6,6,10,3,7,9,8,0,10,12,2,8,2,1,8,5,1,3,4,1,3,5,2,1,6,4,7,1,5,10,3,2,3,1,2,3,7,5,1,9,0,4,5,1,3,5,0,4,4,6,0,1,2,1,1,2,4,11,3,3,7,4,12,3,8,3,7,1,5,4,2,6,1,0,1,4,0,0,5,1,4,4,2,7,1,2,4,12,5,5,1,5,2,7,3,6,5,3,6,9,4,5,0,2,1,0,1
FOODS_2_001_WI_3_evaluation,FOODS_2_001,FOODS_2,FOODS,WI_3,WI,5,1,1,1,1,4,4,4,1,0,6,4,0,0,2,0,2,0,0,3,0,1,0,0,5,0,6,0,6,0,1,0,0,0,3,2,3,2,0,4,1,2,4,0,1,0,2,0,0,4,2,1,0,0,2,1,0,2,0,4,3,0,1,2,0,2,0,2,4,3,0,0,4,2,2,0,4,0,3,0,2,1,0,0,1,0,0,0,0,0,3,0,5,3,2,2,8,1,0,3,0,1,0,2,5,1,1,1,0,0,2,2,1,4,0,0,1,2,4,3,2,2,3,0,0,0,0,0,1,3,0,3,1,3,1,2,1,0,2,0
FOODS_3_001_CA_1_evaluation,FOODS_3_001,FOODS_3,FOODS,CA_1,CA,1,0,2,0,0,2,0,2,0,0,0,0,2,0,2,1,0,2,0,0,0,0,1,0,0,0,0,0,0,2,1,0,2,0,0,2,0,2,1,0,0,1,0,0,0,0,2,0,1,2,0,0,1,1,1,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,2,1,0,0,1,1,1,3,1,0,0,0,1,0,0,1,0,1,0,0,2,0,3,1,0,0,0,0,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2
FOODS_3_001_CA_2_evaluation,FOODS_3_001,FOODS_3,FOODS,CA_2,CA,1,0,0,0,2,1,0,0,10,0,0,0,0,2,1,0,0,0,0,1,0,2,0,2,0,2,2,0,0,2,0,1,0,3,1,1,0,0,0,0,2,0,0,0,0,0,1,0,5,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,1,6,5,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,2,2,0,0,0,1,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,14,0,0,0,0,4,0,0,0,0,1,2,2
FOODS_3_001_CA_3_evaluation,FOODS_3_001,FOODS_3,FOODS,CA_3,CA,2,0,1,1,1,5,8,1,0,2,2,2,3,1,1,0,0,0,1,1,3,2,1,0,1,2,0,2,0,1,1,2,0,1,1,0,3,1,1,1,4,2,6,0,1,0,0,0,0,0,0,0,1,1,1,2,2,2,1,0,0,1,2,2,3,7,2,3,3,1,0,1,1,0,0,3,0,3,2,0,2,1,2,1,0,6,2,1,1,1,5,1,4,5,0,0,0,6,0,0,3,6,2,0,6,2,0,3,4,0,0,2,3,2,2,0,2,6,1,4,0,2,0,0,0,0,2,0,4,3,2,2,3,2,3,6,6,2,4,8
FOODS_3_001_CA_4_evaluation,FOODS_3_001,FOODS_3,FOODS,CA_4,CA,0,1,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1,0,1,1,0,0,0,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0
FOODS_3_001_TX_1_evaluation,FOODS_3_001,FOODS_3,FOODS,TX_1,TX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
FOODS_3_001_TX_2_evaluation,FOODS_3_001,FOODS_3,FOODS,TX_2,TX,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,0
FOODS_3_001_TX_3_evaluation,FOODS_3_001,FOODS_3,FOODS,TX_3,TX,0,1,0,1,1,0,1,4,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,3,0,1,0,2,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,2,1,0,2,0,1,2,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,5,2,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,4,1,0,0,0,0,0,0,0,1,0
FOODS_3_001_WI_1_evaluation,FOODS_3_001,FOODS_3,FOODS,WI_1,WI,1,0,0,0,0,1,1,2,1,2,0,0,0,1,1,0,0,1,1,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,1,6,2,0,0,1,0,0,0,1,1,0,1,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,2,0,0,0,2,1,0,2,0,0,0,0,1,0,4,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,1,1,1,1,0,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,1
FOODS_3_001_WI_2_evaluation,FOODS_3_001,FOODS_3,FOODS,WI_2,WI,1,3,4,1,1,2,2,5,2,2,3,0,4,2,2,0,1,2,2,2,2,2,0,0,0,1,1,0,0,0,2,0,0,3,2,2,5,2,2,14,1,3,2,0,0,0,1,1,1,0,1,1,1,1,0,2,2,3,1,4,4,4,7,2,4,4,2,3,2,1,3,3,0,0,2,1,0,3,1,0,0,0,3,0,0,1,0,0,0,0,0,0,1,3,1,2,1,2,0,0,1,1,0,3,1,1,2,1,0,0,0,1,1,2,0,0,2,0,3,2,1,2,2,0,2,0,0,2,3,1,0,1,2,0,1,1,1,0,0,0
FOODS_3_001_WI_3_evaluation,FOODS_3_001,FOODS_3,FOODS,WI_3,WI,1,1,0,0,0,0,0,0,1,0,0,2,1,2,0,2,1,1,0,3,2,0,3,0,0,0,4,1,1,2,2,1,2,4,2,0,3,1,0,3,2,1,1,3,1,1,0,0,2,0,0,0,0,0,2,1,0,0,1,1,0,1,4,4,0,2,0,0,7,0,0,1,0,0,4,3,1,2,0,1,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0,2,0,0,3,2,1,3,0,1,0,0,0,1,2,0,1,0,0,1,2,0,4,1,0,2,1,2,0,2,0,1,1,2,1,1,1,1,2,2,0,0
HOBBIES_1_001_CA_1_evaluation,HOBBIES_1_001,HOBBIES_1,HOBBIES,CA_1,CA,2,0,1,0,1,4,0,0,5,0,0,0,0,0,0,2,1,2,1,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,2,2,0,0,1,4,0,0,0,0,1,1,2,0,4,0,1,0,1,4,2,0,2,0,1,1,0,1,0,0,1,1,3,0,0,0,1,1,1,3,1,3,1,2,2,0,1,1,1,1,0,0,0,0,0,1,0,4,2,3,0,1,2,0,0,0,1,1,3,0,1,1,1,3,0,1,1,0,0,0,2,0,3,5,0,0,1,1,0,2,1,2,2,1,0,2,4,0,0,0,0,3,3,0,1
HOBBIES_1_001_CA_2_evaluation,HOBBIES_1_001,HOBBIES_1,HOBBIES,CA_2,CA,0,1,0,0,0,2,0,1,0,1,0,0,2,2,0,0,0,1,1,2,1,0,1,2,0,1,0,0,0,2,1,0,3,0,0,0,0,0,0,1,0,1,0,0,0,2,2,0,1,0,0,1,1,1,0,2,0,2,0,2,0,0,1,1,0,1,1,0,1,2,1,1,0,2,0,1,1,2,0,0,1,1,3,0,0,3,1,0,1,1,0,2,0,0,0,0,0,1,0,0,1,0,0,0,1,2,0,4,0,0,2,2,0,1,0,1,2,0,0,2,0,0,0,0,0,0,1,1,0,2,2,0,2,0,2,2,0,2,0,1
HOBBIES_1_001_CA_3_evaluation,HOBBIES_1_001,HOBBIES_1,HOBBIES,CA_3,CA,0,5,0,1,0,0,6,0,0,2,0,0,0,0,0,0,0,1,1,3,2,0,0,0,0,1,0,0,0,0,0,1,2,3,1,1,0,0,0,0,2,3,0,0,0,0,3,2,1,3,0,0,0,1,2,1,0,0,1,1,1,1,1,2,2,0,0,1,1,1,2,1,2,0,0,2,0,1,1,6,2,0,2,1,2,1,0,0,0,4,2,1,0,2,0,0,2,1,0,0,0,0,0,2,4,0,1,1,1,0,3,3,1,1,0,1,0,2,1,0,1,2,1,1,4,1,1,0,0,0,2,6,0,1,0,2,1,0,1,0
HOBBIES_1_001_CA_4_evaluation,HOBBIES_1_001,HOBBIES_1,HOBBIES,CA_4,CA,1,1,1,0,2,1,0,1,1,1,0,0,1,0,2,4,0,1,1,3,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,0,1,1,2,1,4,0,0,0,0,1,1,2,0,0,0,1,1,1,2,0,2,0,0,1,3,1,0,0,0,0,0,2,2,1,1,1,0,2,1,1,3,0,0,3,0,1,2,0,2,1,2,1,1,1,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,1,0,1,2,1,0,0,0,1,4,0,2,0,1,1,0,0,1,1,2,1,0,0,1,0,3,1,1,1,0,1,2,2
HOBBIES_1_001_TX_1_evaluation,HOBBIES_1_001,HOBBIES_1,HOBBIES,TX_1,TX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,2,1,0,2,1,0,1
HOBBIES_1_001_TX_2_evaluation,HOBBIES_1_001,HOBBIES_1,HOBBIES,TX_2,TX,1,0,2,3,1,0,1,1,1,0,2,0,0,0,1,0,0,0,1,2,0,0,0,0,1,0,1,2,0,0,0,1,6,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,2,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,1,1,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,1
HOBBIES_1_001_TX_3_evaluation,HOBBIES_1_001,HOBBIES_1,HOBBIES,TX_3,TX,0,0,0,3,1,1,0,0,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,1,2,1,0,0,0,1,0,1,0,0,0,0,2,1,2,0,0,2,0,1,1,1,0,0,1,1,0,0,0,0,2,0,0,1,0,0,0,1,1,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,1,0,0,1,3,0,0,0,1,0,1,0,3,0,0,3,1,1,2,1
HOBBIES_1_001_WI_1_evaluation,HOBBIES_1_001,HOBBIES_1,HOBBIES,WI_1,WI,2,0,1,0,1,0,0,1,0,0,2,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2,0,0,1,1,0,0,1,0,4,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,1,2,1,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,1,2
